Date,Open,High,Low,Close,Volume
2005-12-31,39.18,44.0922,36.9808,42.9936,794448175.22757
2006-12-31,43.7674,54.0124,42.9701,52.9695,1446796432.9891
2007-12-31,53.5027,62.5767,48.8322,56.7889,2614525345.5638
2008-12-31,57.1744,57.3114,25.7046,32.4531,6853777858.9273
2009-12-31,32.2584,41.7159,22.8322,39.9901,8201692480.7539
2010-12-31,40.8148,43.0532,33.1692,42.117,7534148965.6177
2011-12-31,42.3909,46.5547,33.5185,36.9641,7480173784.4166
2012-12-31,37.7194,43.4426,34.7277,43.4269,6172352198.7209
2013-12-31,44.0443,52.9412,43.1061,52.7387,5610257703.98
2014-12-31,52.0548,55.7979,47.1964,49.4711,5329079923.5445
2015-12-31,49.6589,55.7089,46.2054,48.9819,6343651208.0266
2016-12-31,48.2315,51.2154,42.4926,49.653,6980261981.6413
2017-12-31,49.8448,62.3409,49.7577,62.1003,5255972052.3272
2018-12-31,62.2959,66.4832,51.687,53.5174,8516706751.1402
2019-12-31,52.8081,65.7044,52.7895,65.318,6878843861.6295
2020-12-31,65.8081,71.277,43.0112,70.2752,7910264102.3812
2021-12-31,71.6527,80.3392,69.3497,76.9748,5631909953.8413
2022-12-31,77.4248,78.3053,54.61,65.64,7284288818.2073
2023-12-31,66.46,75.66,65.68,75.35,4204998332
2024-12-31,74.54,84.5563,72.585,75.61,3235280057
2025-12-31,75.66,97.415,72.145,96.03,3787489911
2026-12-31,97.03,105.94,93.08,96.66,1397391139
